instant,dteday,hr,casual,registered,cnt,season_desc,year,month,weekday_desc,weather_desc,temp_actual,atemp_actual,hum_actual,windspeed_actual,workingday_desc,holiday_desc
24,2011-01-01,23,15,24,39,Spring,2011,Jan,Sat,Mist/Cloudy,18.86,22.725,88.0,19.999499999999998,Not Working Day,Not Holiday
25,2011-01-02,0,4,13,17,Spring,2011,Jan,Sun,Mist/Cloudy,18.86,22.725,88.0,19.999499999999998,Not Working Day,Not Holiday
26,2011-01-02,1,1,16,17,Spring,2011,Jan,Sun,Mist/Cloudy,18.04,21.97,94.0,16.997899999999998,Not Working Day,Not Holiday
27,2011-01-02,2,1,8,9,Spring,2011,Jan,Sun,Mist/Cloudy,17.22,21.21,100.0,19.0012,Not Working Day,Not Holiday
28,2011-01-02,3,2,4,6,Spring,2011,Jan,Sun,Mist/Cloudy,18.86,22.725,94.0,12.998000000000001,Not Working Day,Not Holiday
29,2011-01-02,4,2,1,3,Spring,2011,Jan,Sun,Mist/Cloudy,18.86,22.725,94.0,12.998000000000001,Not Working Day,Not Holiday
30,2011-01-02,6,0,2,2,Spring,2011,Jan,Sun,Light Rain/Snow,17.22,21.21,77.0,19.999499999999998,Not Working Day,Not Holiday
31,2011-01-02,7,0,1,1,Spring,2011,Jan,Sun,Mist/Cloudy,16.400000000000002,20.455000000000002,76.0,12.998000000000001,Not Working Day,Not Holiday
32,2011-01-02,8,0,8,8,Spring,2011,Jan,Sun,Light Rain/Snow,16.400000000000002,20.455000000000002,71.0,15.001299999999999,Not Working Day,Not Holiday
33,2011-01-02,9,1,19,20,Spring,2011,Jan,Sun,Mist/Cloudy,15.58,19.695,76.0,15.001299999999999,Not Working Day,Not Holiday
34,2011-01-02,10,7,46,53,Spring,2011,Jan,Sun,Mist/Cloudy,14.76,17.424999999999997,81.0,15.001299999999999,Not Working Day,Not Holiday
35,2011-01-02,11,16,54,70,Spring,2011,Jan,Sun,Mist/Cloudy,14.76,16.665,71.0,16.997899999999998,Not Working Day,Not Holiday
36,2011-01-02,12,20,73,93,Spring,2011,Jan,Sun,Mist/Cloudy,14.76,16.665,66.0,19.999499999999998,Not Working Day,Not Holiday
37,2011-01-02,13,11,64,75,Spring,2011,Jan,Sun,Mist/Cloudy,14.76,17.424999999999997,66.0,8.9981,Not Working Day,Not Holiday
38,2011-01-02,14,4,55,59,Spring,2011,Jan,Sun,Light Rain/Snow,14.76,17.424999999999997,76.0,12.998000000000001,Not Working Day,Not Holiday
39,2011-01-02,15,19,55,74,Spring,2011,Jan,Sun,Light Rain/Snow,13.940000000000001,16.665,81.0,11.0014,Not Working Day,Not Holiday
40,2011-01-02,16,9,67,76,Spring,2011,Jan,Sun,Light Rain/Snow,13.940000000000001,16.665,71.0,11.0014,Not Working Day,Not Holiday
41,2011-01-02,17,7,58,65,Spring,2011,Jan,Sun,Clear/Few clouds,13.940000000000001,16.665,56.99999999999999,12.998000000000001,Not Working Day,Not Holiday
42,2011-01-02,18,10,43,53,Spring,2011,Jan,Sun,Mist/Cloudy,14.76,16.665,46.0,22.0028,Not Working Day,Not Holiday
43,2011-01-02,19,1,29,30,Spring,2011,Jan,Sun,Clear/Few clouds,13.120000000000001,14.395,42.0,30.002599999999997,Not Working Day,Not Holiday
44,2011-01-02,20,5,17,22,Spring,2011,Jan,Sun,Clear/Few clouds,12.299999999999999,13.635,39.0,23.9994,Not Working Day,Not Holiday
45,2011-01-02,21,11,20,31,Spring,2011,Jan,Sun,Clear/Few clouds,10.66,11.365,44.0,22.0028,Not Working Day,Not Holiday
46,2011-01-02,22,0,9,9,Spring,2011,Jan,Sun,Clear/Few clouds,9.84,10.605,44.0,19.999499999999998,Not Working Day,Not Holiday
47,2011-01-02,23,0,8,8,Spring,2011,Jan,Sun,Clear/Few clouds,9.02,11.365,47.0,11.0014,Not Working Day,Not Holiday
48,2011-01-03,0,0,5,5,Spring,2011,Jan,Mon,Clear/Few clouds,9.02,9.85,44.0,23.9994,Working Day,Not Holiday
49,2011-01-03,1,0,2,2,Spring,2011,Jan,Mon,Clear/Few clouds,8.200000000000001,8.334999999999999,44.0,27.999299999999998,Working Day,Not Holiday
50,2011-01-03,4,0,1,1,Spring,2011,Jan,Mon,Clear/Few clouds,6.5600000000000005,6.819999999999999,47.0,26.0027,Working Day,Not Holiday
51,2011-01-03,5,0,3,3,Spring,2011,Jan,Mon,Clear/Few clouds,6.5600000000000005,6.819999999999999,47.0,19.0012,Working Day,Not Holiday
52,2011-01-03,6,0,30,30,Spring,2011,Jan,Mon,Clear/Few clouds,5.74,5.305,50.0,26.0027,Working Day,Not Holiday
53,2011-01-03,7,1,63,64,Spring,2011,Jan,Mon,Clear/Few clouds,5.74,6.819999999999999,50.0,12.998000000000001,Working Day,Not Holiday
54,2011-01-03,8,1,153,154,Spring,2011,Jan,Mon,Clear/Few clouds,5.74,6.0600000000000005,50.0,19.0012,Working Day,Not Holiday
55,2011-01-03,9,7,81,88,Spring,2011,Jan,Mon,Clear/Few clouds,6.5600000000000005,6.819999999999999,43.0,26.0027,Working Day,Not Holiday
56,2011-01-03,10,11,33,44,Spring,2011,Jan,Mon,Clear/Few clouds,7.38,8.334999999999999,43.0,16.997899999999998,Working Day,Not Holiday
57,2011-01-03,11,10,41,51,Spring,2011,Jan,Mon,Clear/Few clouds,8.200000000000001,9.09,40.0,22.0028,Working Day,Not Holiday
58,2011-01-03,12,13,48,61,Spring,2011,Jan,Mon,Clear/Few clouds,9.02,10.605,35.0,19.999499999999998,Working Day,Not Holiday
59,2011-01-03,13,8,53,61,Spring,2011,Jan,Mon,Clear/Few clouds,9.84,10.605,35.0,19.0012,Working Day,Not Holiday
60,2011-01-03,14,11,66,77,Spring,2011,Jan,Mon,Clear/Few clouds,10.66,12.120000000000001,30.0,19.0012,Working Day,Not Holiday
61,2011-01-03,15,14,58,72,Spring,2011,Jan,Mon,Clear/Few clouds,10.66,12.120000000000001,30.0,16.997899999999998,Working Day,Not Holiday
62,2011-01-03,16,9,67,76,Spring,2011,Jan,Mon,Clear/Few clouds,10.66,12.120000000000001,30.0,16.997899999999998,Working Day,Not Holiday
63,2011-01-03,17,11,146,157,Spring,2011,Jan,Mon,Clear/Few clouds,9.84,11.365,30.0,15.001299999999999,Working Day,Not Holiday
64,2011-01-03,18,9,148,157,Spring,2011,Jan,Mon,Clear/Few clouds,9.84,12.879999999999999,32.0,7.0015,Working Day,Not Holiday
65,2011-01-03,19,8,102,110,Spring,2011,Jan,Mon,Clear/Few clouds,8.200000000000001,12.879999999999999,47.0,0.0,Working Day,Not Holiday
66,2011-01-03,20,3,49,52,Spring,2011,Jan,Mon,Clear/Few clouds,8.200000000000001,11.365,47.0,7.0015,Working Day,Not Holiday
67,2011-01-03,21,3,49,52,Spring,2011,Jan,Mon,Clear/Few clouds,7.38,9.85,64.0,8.9981,Working Day,Not Holiday
68,2011-01-03,22,0,20,20,Spring,2011,Jan,Mon,Clear/Few clouds,5.74,7.575,69.0,8.9981,Working Day,Not Holiday
69,2011-01-03,23,1,11,12,Spring,2011,Jan,Mon,Clear/Few clouds,7.38,10.605,55.00000000000001,7.0015,Working Day,Not Holiday
70,2011-01-04,0,0,5,5,Spring,2011,Jan,Tue,Clear/Few clouds,6.5600000000000005,9.09,55.00000000000001,7.0015,Working Day,Not Holiday
71,2011-01-04,1,0,2,2,Spring,2011,Jan,Tue,Clear/Few clouds,6.5600000000000005,9.09,59.0,7.0015,Working Day,Not Holiday
72,2011-01-04,2,0,1,1,Spring,2011,Jan,Tue,Clear/Few clouds,5.74,7.575,63.0,8.9981,Working Day,Not Holiday
73,2011-01-04,4,0,2,2,Spring,2011,Jan,Tue,Clear/Few clouds,5.74,9.09,63.0,6.0032,Working Day,Not Holiday
74,2011-01-04,5,0,4,4,Spring,2011,Jan,Tue,Clear/Few clouds,4.92,7.575,68.0,7.0015,Working Day,Not Holiday
75,2011-01-04,6,0,36,36,Spring,2011,Jan,Tue,Clear/Few clouds,4.92,7.575,74.0,7.0015,Working Day,Not Holiday
76,2011-01-04,7,2,92,94,Spring,2011,Jan,Tue,Clear/Few clouds,4.92,7.575,74.0,8.9981,Working Day,Not Holiday
77,2011-01-04,8,2,177,179,Spring,2011,Jan,Tue,Clear/Few clouds,5.74,7.575,69.0,11.0014,Working Day,Not Holiday
78,2011-01-04,9,2,98,100,Spring,2011,Jan,Tue,Clear/Few clouds,6.5600000000000005,7.575,64.0,15.001299999999999,Working Day,Not Holiday
79,2011-01-04,10,5,37,42,Spring,2011,Jan,Tue,Mist/Cloudy,6.5600000000000005,6.819999999999999,69.0,22.0028,Working Day,Not Holiday
80,2011-01-04,11,7,50,57,Spring,2011,Jan,Tue,Clear/Few clouds,9.02,10.605,51.0,19.999499999999998,Working Day,Not Holiday
81,2011-01-04,12,12,66,78,Spring,2011,Jan,Tue,Clear/Few clouds,9.02,11.365,51.0,11.0014,Working Day,Not Holiday
82,2011-01-04,13,18,79,97,Spring,2011,Jan,Tue,Clear/Few clouds,9.84,11.365,56.00000000000001,12.998000000000001,Working Day,Not Holiday
83,2011-01-04,14,9,54,63,Spring,2011,Jan,Tue,Clear/Few clouds,10.66,12.879999999999999,52.0,15.001299999999999,Working Day,Not Holiday
84,2011-01-04,15,17,48,65,Spring,2011,Jan,Tue,Clear/Few clouds,11.48,13.635,52.0,16.997899999999998,Working Day,Not Holiday
85,2011-01-04,16,15,68,83,Spring,2011,Jan,Tue,Clear/Few clouds,12.299999999999999,14.395,49.0,16.997899999999998,Working Day,Not Holiday
86,2011-01-04,17,10,202,212,Spring,2011,Jan,Tue,Clear/Few clouds,11.48,13.635,48.0,15.001299999999999,Working Day,Not Holiday
87,2011-01-04,18,3,179,182,Spring,2011,Jan,Tue,Clear/Few clouds,10.66,12.879999999999999,48.0,12.998000000000001,Working Day,Not Holiday
88,2011-01-04,19,2,110,112,Spring,2011,Jan,Tue,Clear/Few clouds,9.84,12.879999999999999,48.0,7.0015,Working Day,Not Holiday
89,2011-01-04,20,1,53,54,Spring,2011,Jan,Tue,Clear/Few clouds,9.84,12.879999999999999,48.0,7.0015,Working Day,Not Holiday
90,2011-01-04,21,0,48,48,Spring,2011,Jan,Tue,Clear/Few clouds,9.02,13.635,64.0,0.0,Working Day,Not Holiday
91,2011-01-04,22,1,34,35,Spring,2011,Jan,Tue,Clear/Few clouds,9.02,12.879999999999999,64.0,6.0032,Working Day,Not Holiday
92,2011-01-04,23,2,9,11,Spring,2011,Jan,Tue,Clear/Few clouds,8.200000000000001,11.365,69.0,6.0032,Working Day,Not Holiday
93,2011-01-05,0,0,6,6,Spring,2011,Jan,Wed,Clear/Few clouds,8.200000000000001,12.879999999999999,64.0,0.0,Working Day,Not Holiday
94,2011-01-05,1,0,6,6,Spring,2011,Jan,Wed,Clear/Few clouds,6.5600000000000005,9.85,74.0,6.0032,Working Day,Not Holiday
95,2011-01-05,2,0,2,2,Spring,2011,Jan,Wed,Clear/Few clouds,6.5600000000000005,9.85,74.0,6.0032,Working Day,Not Holiday
96,2011-01-05,4,0,2,2,Spring,2011,Jan,Wed,Clear/Few clouds,9.84,11.365,48.0,15.001299999999999,Working Day,Not Holiday
97,2011-01-05,5,0,3,3,Spring,2011,Jan,Wed,Clear/Few clouds,9.02,11.365,47.0,11.0014,Working Day,Not Holiday
98,2011-01-05,6,0,33,33,Spring,2011,Jan,Wed,Clear/Few clouds,8.200000000000001,9.85,47.0,15.001299999999999,Working Day,Not Holiday
99,2011-01-05,7,1,87,88,Spring,2011,Jan,Wed,Clear/Few clouds,7.38,9.09,43.0,12.998000000000001,Working Day,Not Holiday
100,2011-01-05,8,3,192,195,Spring,2011,Jan,Wed,Clear/Few clouds,8.200000000000001,9.09,40.0,19.999499999999998,Working Day,Not Holiday
101,2011-01-05,9,6,109,115,Spring,2011,Jan,Wed,Clear/Few clouds,9.02,9.85,37.0,22.0028,Working Day,Not Holiday
102,2011-01-05,10,4,53,57,Spring,2011,Jan,Wed,Clear/Few clouds,9.02,9.85,37.0,22.0028,Working Day,Not Holiday
103,2011-01-05,11,12,34,46,Spring,2011,Jan,Wed,Clear/Few clouds,10.66,11.365,33.0,22.0028,Working Day,Not Holiday
104,2011-01-05,12,5,74,79,Spring,2011,Jan,Wed,Clear/Few clouds,10.66,11.365,33.0,22.0028,Working Day,Not Holiday
105,2011-01-05,13,6,65,71,Spring,2011,Jan,Wed,Clear/Few clouds,11.48,12.879999999999999,30.0,19.999499999999998,Working Day,Not Holiday
106,2011-01-05,14,10,52,62,Spring,2011,Jan,Wed,Clear/Few clouds,12.299999999999999,14.395,28.000000000000004,12.998000000000001,Working Day,Not Holiday
107,2011-01-05,15,7,55,62,Spring,2011,Jan,Wed,Clear/Few clouds,12.299999999999999,14.395,28.000000000000004,12.998000000000001,Working Day,Not Holiday
108,2011-01-05,16,4,85,89,Spring,2011,Jan,Wed,Clear/Few clouds,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,Working Day,Not Holiday
109,2011-01-05,17,4,186,190,Spring,2011,Jan,Wed,Clear/Few clouds,9.84,11.365,38.0,12.998000000000001,Working Day,Not Holiday
110,2011-01-05,18,3,166,169,Spring,2011,Jan,Wed,Clear/Few clouds,9.84,12.120000000000001,38.0,8.9981,Working Day,Not Holiday
111,2011-01-05,19,5,127,132,Spring,2011,Jan,Wed,Clear/Few clouds,9.84,12.879999999999999,38.0,7.0015,Working Day,Not Holiday
112,2011-01-05,20,7,82,89,Spring,2011,Jan,Wed,Clear/Few clouds,9.02,11.365,47.0,11.0014,Working Day,Not Holiday
113,2011-01-05,21,3,40,43,Spring,2011,Jan,Wed,Clear/Few clouds,8.200000000000001,9.85,51.0,12.998000000000001,Working Day,Not Holiday
114,2011-01-05,22,1,41,42,Spring,2011,Jan,Wed,Clear/Few clouds,7.38,9.85,55.00000000000001,8.9981,Working Day,Not Holiday
115,2011-01-05,23,1,18,19,Spring,2011,Jan,Wed,Clear/Few clouds,8.200000000000001,12.879999999999999,47.0,0.0,Working Day,Not Holiday
116,2011-01-06,0,0,11,11,Spring,2011,Jan,Thu,Clear/Few clouds,7.38,12.120000000000001,55.00000000000001,0.0,Working Day,Not Holiday
117,2011-01-06,1,0,4,4,Spring,2011,Jan,Thu,Clear/Few clouds,6.5600000000000005,11.365,64.0,0.0,Working Day,Not Holiday
118,2011-01-06,2,0,2,2,Spring,2011,Jan,Thu,Clear/Few clouds,6.5600000000000005,11.365,64.0,0.0,Working Day,Not Holiday
119,2011-01-06,4,0,1,1,Spring,2011,Jan,Thu,Mist/Cloudy,6.5600000000000005,9.85,64.0,6.0032,Working Day,Not Holiday
120,2011-01-06,5,0,4,4,Spring,2011,Jan,Thu,Mist/Cloudy,5.74,9.09,69.0,6.0032,Working Day,Not Holiday
121,2011-01-06,6,0,36,36,Spring,2011,Jan,Thu,Mist/Cloudy,5.74,8.334999999999999,63.0,7.0015,Working Day,Not Holiday
122,2011-01-06,7,0,95,95,Spring,2011,Jan,Thu,Mist/Cloudy,6.5600000000000005,11.365,59.0,0.0,Working Day,Not Holiday
123,2011-01-06,8,3,216,219,Spring,2011,Jan,Thu,Clear/Few clouds,6.5600000000000005,11.365,59.0,0.0,Working Day,Not Holiday
124,2011-01-06,9,6,116,122,Spring,2011,Jan,Thu,Mist/Cloudy,7.38,12.120000000000001,51.0,0.0,Working Day,Not Holiday
125,2011-01-06,10,3,42,45,Spring,2011,Jan,Thu,Clear/Few clouds,8.200000000000001,12.879999999999999,47.0,0.0,Working Day,Not Holiday
126,2011-01-06,11,2,57,59,Spring,2011,Jan,Thu,Clear/Few clouds,9.02,12.879999999999999,44.0,6.0032,Working Day,Not Holiday
127,2011-01-06,12,6,78,84,Spring,2011,Jan,Thu,Clear/Few clouds,10.66,14.395,35.0,0.0,Working Day,Not Holiday
128,2011-01-06,13,12,55,67,Spring,2011,Jan,Thu,Clear/Few clouds,10.66,13.635,35.0,7.0015,Working Day,Not Holiday
129,2011-01-06,14,11,59,70,Spring,2011,Jan,Thu,Clear/Few clouds,11.48,13.635,36.0,11.0014,Working Day,Not Holiday
130,2011-01-06,15,8,54,62,Spring,2011,Jan,Thu,Clear/Few clouds,11.48,13.635,36.0,0.0,Working Day,Not Holiday
131,2011-01-06,16,12,74,86,Spring,2011,Jan,Thu,Clear/Few clouds,10.66,12.879999999999999,38.0,11.0014,Working Day,Not Holiday
132,2011-01-06,17,9,163,172,Spring,2011,Jan,Thu,Clear/Few clouds,9.02,11.365,51.0,11.0014,Working Day,Not Holiday
133,2011-01-06,18,5,158,163,Spring,2011,Jan,Thu,Clear/Few clouds,9.02,11.365,51.0,8.9981,Working Day,Not Holiday
134,2011-01-06,19,3,109,112,Spring,2011,Jan,Thu,Clear/Few clouds,9.02,12.879999999999999,55.00000000000001,6.0032,Working Day,Not Holiday
135,2011-01-06,20,3,66,69,Spring,2011,Jan,Thu,Clear/Few clouds,8.200000000000001,10.605,51.0,11.0014,Working Day,Not Holiday
136,2011-01-06,21,0,48,48,Spring,2011,Jan,Thu,Mist/Cloudy,9.02,10.605,55.00000000000001,15.001299999999999,Working Day,Not Holiday
137,2011-01-06,22,1,51,52,Spring,2011,Jan,Thu,Mist/Cloudy,9.02,10.605,51.0,19.0012,Working Day,Not Holiday
138,2011-01-06,23,4,19,23,Spring,2011,Jan,Thu,Mist/Cloudy,8.200000000000001,9.85,59.0,12.998000000000001,Working Day,Not Holiday
139,2011-01-07,0,4,13,17,Spring,2011,Jan,Fri,Mist/Cloudy,8.200000000000001,9.85,64.0,12.998000000000001,Working Day,Not Holiday
140,2011-01-07,1,2,5,7,Spring,2011,Jan,Fri,Mist/Cloudy,8.200000000000001,9.85,69.0,15.001299999999999,Working Day,Not Holiday
141,2011-01-07,2,0,1,1,Spring,2011,Jan,Fri,Mist/Cloudy,8.200000000000001,9.85,69.0,15.001299999999999,Working Day,Not Holiday
142,2011-01-07,4,0,1,1,Spring,2011,Jan,Fri,Mist/Cloudy,8.200000000000001,10.605,69.0,8.9981,Working Day,Not Holiday
143,2011-01-07,5,0,5,5,Spring,2011,Jan,Fri,Light Rain/Snow,9.02,13.635,55.00000000000001,0.0,Working Day,Not Holiday
144,2011-01-07,6,8,26,34,Spring,2011,Jan,Fri,Mist/Cloudy,8.200000000000001,12.879999999999999,69.0,0.0,Working Day,Not Holiday
145,2011-01-07,7,8,76,84,Spring,2011,Jan,Fri,Clear/Few clouds,8.200000000000001,10.605,69.0,8.9981,Working Day,Not Holiday
146,2011-01-07,8,20,190,210,Spring,2011,Jan,Fri,Clear/Few clouds,8.200000000000001,9.85,51.0,16.997899999999998,Working Day,Not Holiday
147,2011-01-07,9,9,125,134,Spring,2011,Jan,Fri,Clear/Few clouds,8.200000000000001,9.09,47.0,19.999499999999998,Working Day,Not Holiday
148,2011-01-07,10,16,47,63,Spring,2011,Jan,Fri,Clear/Few clouds,9.02,9.85,37.0,22.0028,Working Day,Not Holiday
149,2011-01-07,11,19,48,67,Spring,2011,Jan,Fri,Mist/Cloudy,8.200000000000001,9.85,40.0,15.001299999999999,Working Day,Not Holiday
150,2011-01-07,12,9,50,59,Spring,2011,Jan,Fri,Mist/Cloudy,8.200000000000001,9.85,37.0,16.997899999999998,Working Day,Not Holiday
151,2011-01-07,13,9,64,73,Spring,2011,Jan,Fri,Mist/Cloudy,8.200000000000001,9.09,37.0,19.0012,Working Day,Not Holiday
152,2011-01-07,14,7,43,50,Spring,2011,Jan,Fri,Mist/Cloudy,8.200000000000001,9.85,40.0,16.997899999999998,Working Day,Not Holiday
153,2011-01-07,15,9,63,72,Spring,2011,Jan,Fri,Mist/Cloudy,8.200000000000001,10.605,37.0,11.0014,Working Day,Not Holiday
154,2011-01-07,16,5,82,87,Spring,2011,Jan,Fri,Mist/Cloudy,8.200000000000001,10.605,37.0,11.0014,Working Day,Not Holiday
155,2011-01-07,17,9,178,187,Spring,2011,Jan,Fri,Mist/Cloudy,8.200000000000001,12.879999999999999,37.0,0.0,Working Day,Not Holiday
156,2011-01-07,18,7,116,123,Spring,2011,Jan,Fri,Clear/Few clouds,8.200000000000001,11.365,40.0,6.0032,Working Day,Not Holiday
157,2011-01-07,19,3,92,95,Spring,2011,Jan,Fri,Clear/Few clouds,6.5600000000000005,9.85,55.00000000000001,6.0032,Working Day,Not Holiday
158,2011-01-07,20,1,50,51,Spring,2011,Jan,Fri,Clear/Few clouds,7.38,10.605,47.0,7.0015,Working Day,Not Holiday
159,2011-01-07,21,0,39,39,Spring,2011,Jan,Fri,Clear/Few clouds,7.38,9.85,47.0,8.9981,Working Day,Not Holiday
160,2011-01-07,22,2,34,36,Spring,2011,Jan,Fri,Mist/Cloudy,7.38,9.85,43.0,11.0014,Working Day,Not Holiday
161,2011-01-07,23,1,14,15,Spring,2011,Jan,Fri,Mist/Cloudy,7.38,9.85,51.0,11.0014,Working Day,Not Holiday
162,2011-01-08,0,1,24,25,Spring,2011,Jan,Sat,Mist/Cloudy,7.38,9.85,51.0,11.0014,Not Working Day,Not Holiday
163,2011-01-08,1,1,15,16,Spring,2011,Jan,Sat,Mist/Cloudy,7.38,10.605,55.00000000000001,6.0032,Not Working Day,Not Holiday
164,2011-01-08,2,3,13,16,Spring,2011,Jan,Sat,Mist/Cloudy,7.38,12.120000000000001,55.00000000000001,0.0,Not Working Day,Not Holiday
165,2011-01-08,3,0,7,7,Spring,2011,Jan,Sat,Light Rain/Snow,7.38,9.85,55.00000000000001,11.0014,Not Working Day,Not Holiday
166,2011-01-08,4,0,1,1,Spring,2011,Jan,Sat,Light Rain/Snow,7.38,9.85,55.00000000000001,11.0014,Not Working Day,Not Holiday
167,2011-01-08,5,0,5,5,Spring,2011,Jan,Sat,Mist/Cloudy,6.5600000000000005,8.334999999999999,74.0,11.0014,Not Working Day,Not Holiday
168,2011-01-08,6,0,2,2,Spring,2011,Jan,Sat,Mist/Cloudy,6.5600000000000005,8.334999999999999,74.0,11.0014,Not Working Day,Not Holiday
169,2011-01-08,7,1,8,9,Spring,2011,Jan,Sat,Mist/Cloudy,6.5600000000000005,9.09,74.0,7.0015,Not Working Day,Not Holiday
170,2011-01-08,8,0,15,15,Spring,2011,Jan,Sat,Light Rain/Snow,6.5600000000000005,9.09,93.0,7.0015,Not Working Day,Not Holiday
171,2011-01-08,9,0,20,20,Spring,2011,Jan,Sat,Light Rain/Snow,6.5600000000000005,9.09,93.0,7.0015,Not Working Day,Not Holiday
172,2011-01-08,10,5,56,61,Spring,2011,Jan,Sat,Mist/Cloudy,7.38,9.85,80.0,11.0014,Not Working Day,Not Holiday
173,2011-01-08,11,2,60,62,Spring,2011,Jan,Sat,Mist/Cloudy,8.200000000000001,9.09,69.0,26.0027,Not Working Day,Not Holiday
174,2011-01-08,12,8,90,98,Spring,2011,Jan,Sat,Mist/Cloudy,8.200000000000001,9.09,59.0,23.9994,Not Working Day,Not Holiday
175,2011-01-08,13,7,95,102,Spring,2011,Jan,Sat,Clear/Few clouds,8.200000000000001,9.09,44.0,22.0028,Not Working Day,Not Holiday
176,2011-01-08,14,12,83,95,Spring,2011,Jan,Sat,Clear/Few clouds,8.200000000000001,8.334999999999999,32.0,32.9975,Not Working Day,Not Holiday
177,2011-01-08,15,5,69,74,Spring,2011,Jan,Sat,Clear/Few clouds,8.200000000000001,8.334999999999999,32.0,30.002599999999997,Not Working Day,Not Holiday
178,2011-01-08,16,8,68,76,Spring,2011,Jan,Sat,Clear/Few clouds,7.38,6.819999999999999,28.999999999999996,30.002599999999997,Not Working Day,Not Holiday
179,2011-01-08,17,5,64,69,Spring,2011,Jan,Sat,Clear/Few clouds,6.5600000000000005,6.0600000000000005,37.0,36.9974,Not Working Day,Not Holiday
180,2011-01-08,18,3,52,55,Spring,2011,Jan,Sat,Clear/Few clouds,5.74,6.0600000000000005,39.0,19.999499999999998,Not Working Day,Not Holiday
181,2011-01-08,19,4,26,30,Spring,2011,Jan,Sat,Clear/Few clouds,5.74,6.0600000000000005,36.0,16.997899999999998,Not Working Day,Not Holiday
182,2011-01-08,20,0,28,28,Spring,2011,Jan,Sat,Clear/Few clouds,4.92,6.0600000000000005,36.0,16.997899999999998,Not Working Day,Not Holiday
