instant,dteday,casual,registered,cnt,season_desc,year,month,weekday_desc,weather_desc,temp_actual,atemp_actual,hum_actual,windspeed_actual,workingday_desc,holiday_desc
39,2011-02-08,64,1466,1530,Spring,2011,Feb,Tue,Clear/Few clouds,9.054153,9.9123,53.7917,24.25065,Working Day,Not Holiday
40,2011-02-09,53,1552,1605,Spring,2011,Feb,Wed,Mist/Cloudy,5.526102999999999,7.21415,49.4783,12.652213,Working Day,Not Holiday
41,2011-02-10,47,1491,1538,Spring,2011,Feb,Thu,Clear/Few clouds,5.918268,7.477399999999999,43.7391,14.869645,Working Day,Not Holiday
42,2011-02-11,149,1597,1746,Spring,2011,Feb,Fri,Clear/Few clouds,7.752731000000001,10.67545,50.6364,7.272849999999999,Working Day,Not Holiday
43,2011-02-12,288,1184,1472,Spring,2011,Feb,Sat,Clear/Few clouds,9.1225,11.6477,54.4167,13.625589,Not Working Day,Not Holiday
44,2011-02-13,397,1192,1589,Spring,2011,Feb,Sun,Clear/Few clouds,12.977402000000001,16.20565,45.7391,17.479160999999998,Not Working Day,Not Holiday
45,2011-02-14,208,1705,1913,Spring,2011,Feb,Mon,Clear/Few clouds,17.015,19.9175,37.583299999999994,27.999836,Working Day,Not Holiday
46,2011-02-15,140,1675,1815,Spring,2011,Feb,Tue,Clear/Few clouds,10.909567000000001,12.7137,31.434800000000003,19.522058,Working Day,Not Holiday
47,2011-02-16,218,1897,2115,Spring,2011,Feb,Wed,Clear/Few clouds,13.048701000000001,15.809999999999999,42.3478,16.869996999999998,Working Day,Not Holiday
48,2011-02-17,259,2216,2475,Spring,2011,Feb,Thu,Clear/Few clouds,17.869153,21.4329,50.5,15.416968,Working Day,Not Holiday
49,2011-02-18,579,2348,2927,Spring,2011,Feb,Fri,Clear/Few clouds,21.388347,25.599149999999998,51.6667,17.749975000000003,Working Day,Not Holiday
50,2011-02-19,532,1103,1635,Spring,2011,Feb,Sat,Clear/Few clouds,16.365847,19.5702,18.7917,34.000021,Not Working Day,Not Holiday
51,2011-02-20,639,1173,1812,Spring,2011,Feb,Sun,Clear/Few clouds,11.693897,13.8665,40.7826,14.956745,Not Working Day,Not Holiday
52,2011-02-21,195,912,1107,Spring,2011,Feb,Mon,Mist/Cloudy,12.436653000000002,14.203750000000001,60.5,20.625682,Not Working Day,Holiday
53,2011-02-22,74,1376,1450,Spring,2011,Feb,Tue,Clear/Few clouds,7.471102,9.30165,57.7778,13.110761,Working Day,Not Holiday
54,2011-02-23,139,1778,1917,Spring,2011,Feb,Wed,Clear/Few clouds,9.091299,12.28585,42.3043,6.3055710000000005,Working Day,Not Holiday
55,2011-02-24,100,1707,1807,Spring,2011,Feb,Thu,Mist/Cloudy,12.121732000000002,14.459549999999998,69.7391,16.783231999999998,Working Day,Not Holiday
56,2011-02-25,120,1341,1461,Spring,2011,Feb,Fri,Mist/Cloudy,14.938268,17.52305,71.2174,23.218113,Working Day,Not Holiday
57,2011-02-26,424,1545,1969,Spring,2011,Feb,Sat,Clear/Few clouds,11.5825,14.1096,53.7917,12.500257,Not Working Day,Not Holiday
58,2011-02-27,694,1708,2402,Spring,2011,Feb,Sun,Clear/Few clouds,14.082598,17.55545,68.0,8.391615999999999,Not Working Day,Not Holiday
59,2011-02-28,81,1365,1446,Spring,2011,Feb,Mon,Mist/Cloudy,16.698193,20.005899999999997,87.63640000000001,19.408962,Working Day,Not Holiday
60,2011-03-01,137,1714,1851,Spring,2011,Mar,Tue,Clear/Few clouds,10.933347,13.19395,53.5,14.500475,Working Day,Not Holiday
61,2011-03-02,231,1903,2134,Spring,2011,Mar,Wed,Clear/Few clouds,13.735000000000001,16.00355,44.9583,20.624811,Working Day,Not Holiday
62,2011-03-03,123,1562,1685,Spring,2011,Mar,Thu,Clear/Few clouds,8.131653,10.00665,31.833299999999998,15.125518000000001,Working Day,Not Holiday
63,2011-03-04,214,1730,1944,Spring,2011,Mar,Fri,Mist/Cloudy,10.728347,12.783949999999999,61.0417,13.624182,Working Day,Not Holiday
64,2011-03-05,640,1437,2077,Spring,2011,Mar,Sat,Mist/Cloudy,15.750846999999998,18.93895,78.91669999999999,16.875357,Not Working Day,Not Holiday
65,2011-03-06,114,491,605,Spring,2011,Mar,Sun,Mist/Cloudy,15.437402,18.3126,94.8261,23.000229,Not Working Day,Not Holiday
66,2011-03-07,244,1628,1872,Spring,2011,Mar,Mon,Clear/Few clouds,10.731299,11.92305,55.1304,22.870584,Working Day,Not Holiday
67,2011-03-08,316,1817,2133,Spring,2011,Mar,Tue,Clear/Few clouds,11.9925,15.120000000000001,42.0833,8.083549999999999,Working Day,Not Holiday
68,2011-03-09,191,1700,1891,Spring,2011,Mar,Wed,Mist/Cloudy,12.129153,14.3304,77.5417,14.750050000000002,Working Day,Not Holiday
69,2011-03-10,46,577,623,Spring,2011,Mar,Thu,Light Rain/Snow,15.952731,19.2834,0.0,17.545759,Working Day,Not Holiday
70,2011-03-11,247,1730,1977,Spring,2011,Mar,Fri,Mist/Cloudy,12.977402000000001,15.25,64.95649999999999,15.60899,Working Day,Not Holiday
71,2011-03-12,724,1408,2132,Spring,2011,Mar,Sat,Clear/Few clouds,13.495847,16.287499999999998,59.458299999999994,14.791924999999999,Not Working Day,Not Holiday
72,2011-03-13,982,1435,2417,Spring,2011,Mar,Sun,Clear/Few clouds,15.758268000000001,19.004550000000002,52.73910000000001,18.130468,Not Working Day,Not Holiday
73,2011-03-14,359,1687,2046,Spring,2011,Mar,Mon,Clear/Few clouds,13.333896999999999,16.6,49.695699999999995,9.174042,Working Day,Not Holiday
74,2011-03-15,289,1767,2056,Spring,2011,Mar,Tue,Mist/Cloudy,13.013031,15.908900000000001,65.5652,12.348703,Working Day,Not Holiday
75,2011-03-16,321,1871,2192,Spring,2011,Mar,Wed,Mist/Cloudy,14.973897000000001,18.3465,77.65220000000001,13.608839,Working Day,Not Holiday
76,2011-03-17,424,2320,2744,Spring,2011,Mar,Thu,Clear/Few clouds,17.015,20.51665,60.291700000000006,14.041792999999998,Working Day,Not Holiday
77,2011-03-18,884,2355,3239,Spring,2011,Mar,Fri,Clear/Few clouds,22.14,26.35045,52.5217,15.478139,Working Day,Not Holiday
78,2011-03-19,1424,1693,3117,Spring,2011,Mar,Sat,Clear/Few clouds,19.3725,23.32625,37.9167,24.667189,Not Working Day,Not Holiday
79,2011-03-20,1047,1424,2471,Spring,2011,Mar,Sun,Clear/Few clouds,13.6325,16.287499999999998,47.375,13.917307,Not Working Day,Not Holiday
80,2011-03-21,401,1676,2077,Summer,2011,Mar,Mon,Mist/Cloudy,17.647835,20.48675,73.73910000000001,19.348461,Working Day,Not Holiday
81,2011-03-22,460,2243,2703,Summer,2011,Mar,Tue,Clear/Few clouds,18.108347,22.0321,62.4583,15.125250000000001,Working Day,Not Holiday
82,2011-03-23,203,1918,2121,Summer,2011,Mar,Wed,Mist/Cloudy,14.225237,16.89695,83.9565,15.695487,Working Day,Not Holiday
83,2011-03-24,166,1699,1865,Summer,2011,Mar,Thu,Mist/Cloudy,11.684999999999999,13.541649999999999,80.58330000000001,16.333729,Working Day,Not Holiday
84,2011-03-25,300,1910,2210,Summer,2011,Mar,Fri,Clear/Few clouds,10.830846999999999,12.8156,49.5,15.458575000000002,Working Day,Not Holiday
85,2011-03-26,981,1515,2496,Summer,2011,Mar,Sat,Clear/Few clouds,10.899153,12.87855,39.4167,14.041257,Not Working Day,Not Holiday
86,2011-03-27,472,1221,1693,Summer,2011,Mar,Sun,Mist/Cloudy,10.374763000000002,12.51695,49.3913,12.348099999999999,Not Working Day,Not Holiday
87,2011-03-28,222,1806,2028,Summer,2011,Mar,Mon,Clear/Few clouds,10.838268000000001,12.878700000000002,30.2174,14.217668,Working Day,Not Holiday
88,2011-03-29,317,2108,2425,Summer,2011,Mar,Tue,Clear/Few clouds,12.4025,14.6454,31.4167,15.208732,Working Day,Not Holiday
89,2011-03-30,168,1368,1536,Summer,2011,Mar,Wed,Mist/Cloudy,12.299999999999999,14.8675,64.6667,11.583495999999998,Working Day,Not Holiday
90,2011-03-31,179,1506,1685,Summer,2011,Mar,Thu,Light Rain/Snow,11.001653,12.87875,91.8333,14.582282000000001,Working Day,Not Holiday
91,2011-04-01,307,1920,2227,Summer,2011,Apr,Fri,Mist/Cloudy,12.299999999999999,14.172699999999999,68.625,17.333436,Working Day,Not Holiday
92,2011-04-02,898,1354,2252,Summer,2011,Apr,Sat,Mist/Cloudy,12.915000000000001,15.78185,65.375,13.208782,Not Working Day,Not Holiday
93,2011-04-03,1651,1598,3249,Summer,2011,Apr,Sun,Clear/Few clouds,15.511652999999999,18.93835,48.0,12.208271000000002,Not Working Day,Not Holiday
94,2011-04-04,734,2381,3115,Summer,2011,Apr,Mon,Clear/Few clouds,23.506653,27.14645,42.625,25.833257,Working Day,Not Holiday
95,2011-04-05,167,1628,1795,Summer,2011,Apr,Tue,Mist/Cloudy,16.980847,19.9175,64.2083,26.000488999999998,Working Day,Not Holiday
96,2011-04-06,413,2395,2808,Summer,2011,Apr,Wed,Clear/Few clouds,16.024153,19.3804,47.0833,17.625221,Working Day,Not Holiday
97,2011-04-07,571,2570,3141,Summer,2011,Apr,Thu,Clear/Few clouds,17.9375,21.684800000000003,60.291700000000006,10.874904,Working Day,Not Holiday
98,2011-04-08,172,1299,1471,Summer,2011,Apr,Fri,Mist/Cloudy,13.769153,16.223950000000002,83.625,15.208464,Working Day,Not Holiday
99,2011-04-09,879,1576,2455,Summer,2011,Apr,Sat,Mist/Cloudy,14.0425,17.07645,87.75,8.916561,Not Working Day,Not Holiday
100,2011-04-10,1188,1707,2895,Summer,2011,Apr,Sun,Mist/Cloudy,17.493347,21.33685,85.75,9.833389,Not Working Day,Not Holiday
101,2011-04-11,855,2493,3348,Summer,2011,Apr,Mon,Mist/Cloudy,24.421732,28.260849999999998,71.6956,21.739758,Working Day,Not Holiday
102,2011-04-12,257,1777,2034,Summer,2011,Apr,Tue,Mist/Cloudy,20.6025,24.6527,73.9167,18.416892999999998,Working Day,Not Holiday
103,2011-04-13,209,1953,2162,Summer,2011,Apr,Wed,Mist/Cloudy,16.912499999999998,20.864150000000002,81.91669999999999,16.791338999999997,Working Day,Not Holiday
104,2011-04-14,529,2738,3267,Summer,2011,Apr,Thu,Clear/Few clouds,19.1675,23.1371,54.041700000000006,7.4169,Working Day,Not Holiday
105,2011-04-15,642,2484,3126,Summer,2011,Apr,Fri,Clear/Few clouds,18.313347,22.09565,67.125,15.167124999999999,Not Working Day,Holiday
106,2011-04-16,121,674,795,Summer,2011,Apr,Sat,Light Rain/Snow,17.664153000000002,21.2746,88.83330000000001,22.834136,Not Working Day,Not Holiday
107,2011-04-17,1558,2186,3744,Summer,2011,Apr,Sun,Clear/Few clouds,18.723347,22.2848,47.9583,20.334232,Not Working Day,Not Holiday
108,2011-04-18,669,2760,3429,Summer,2011,Apr,Mon,Clear/Few clouds,21.0125,25.1573,54.25,10.958988999999999,Working Day,Not Holiday
109,2011-04-19,409,2795,3204,Summer,2011,Apr,Tue,Mist/Cloudy,20.739152999999998,24.4629,66.5833,10.584057,Working Day,Not Holiday
110,2011-04-20,613,3331,3944,Summer,2011,Apr,Wed,Clear/Few clouds,24.395,28.2196,61.4167,16.208975,Working Day,Not Holiday
111,2011-04-21,745,3444,4189,Summer,2011,Apr,Thu,Clear/Few clouds,18.825847,22.6946,40.708299999999994,21.792286,Working Day,Not Holiday
112,2011-04-22,177,1506,1683,Summer,2011,Apr,Fri,Mist/Cloudy,13.803347,16.0977,72.9583,14.707906999999999,Working Day,Not Holiday
113,2011-04-23,1462,2574,4036,Summer,2011,Apr,Sat,Mist/Cloudy,18.86,22.50605,88.79169999999999,15.458575000000002,Not Working Day,Not Holiday
114,2011-04-24,1710,2481,4191,Summer,2011,Apr,Sun,Mist/Cloudy,23.848347,27.58815,81.08330000000001,12.875725000000001,Not Working Day,Not Holiday
115,2011-04-25,773,3300,4073,Summer,2011,Apr,Mon,Clear/Few clouds,24.873347,28.725,77.6667,12.417311,Working Day,Not Holiday
116,2011-04-26,678,3722,4400,Summer,2011,Apr,Tue,Clear/Few clouds,25.898346999999998,29.704150000000002,72.9167,21.875500000000002,Working Day,Not Holiday
117,2011-04-27,547,3325,3872,Summer,2011,Apr,Wed,Mist/Cloudy,25.419999999999998,28.7571,83.54169999999999,20.917399999999997,Working Day,Not Holiday
118,2011-04-28,569,3489,4058,Summer,2011,Apr,Thu,Mist/Cloudy,25.317500000000003,28.946450000000002,70.08330000000001,21.500836000000003,Working Day,Not Holiday
119,2011-04-29,878,3717,4595,Summer,2011,Apr,Fri,Clear/Few clouds,20.91,24.87315,45.7083,16.084221,Working Day,Not Holiday
120,2011-04-30,1965,3347,5312,Summer,2011,Apr,Sat,Clear/Few clouds,19.3725,23.201050000000002,50.3333,15.750025,Not Working Day,Not Holiday
121,2011-05-01,1138,2213,3351,Summer,2011,May,Sun,Mist/Cloudy,18.518347,22.4102,76.2083,7.125718,Not Working Day,Not Holiday
122,2011-05-02,847,3554,4401,Summer,2011,May,Mon,Mist/Cloudy,22.515846999999997,26.64165,73.0,12.291418,Working Day,Not Holiday
123,2011-05-03,603,3848,4451,Summer,2011,May,Tue,Mist/Cloudy,25.283347,29.10395,69.7083,22.958689,Working Day,Not Holiday
124,2011-05-04,255,2378,2633,Summer,2011,May,Wed,Mist/Cloudy,16.980847,20.2325,73.70830000000001,22.042732,Working Day,Not Holiday
125,2011-05-05,614,3819,4433,Summer,2011,May,Thu,Clear/Few clouds,18.825847,22.09585,44.4167,19.791263999999998,Working Day,Not Holiday
126,2011-05-06,894,3714,4608,Summer,2011,May,Fri,Clear/Few clouds,19.645847,23.70585,59.0,15.292482,Working Day,Not Holiday
127,2011-05-07,1612,3102,4714,Summer,2011,May,Sat,Clear/Few clouds,21.32,25.63105,54.125,10.750150000000001,Not Working Day,Not Holiday
128,2011-05-08,1401,2932,4333,Summer,2011,May,Sun,Clear/Few clouds,21.661653,25.946649999999998,63.1667,5.0007125,Not Working Day,Not Holiday
129,2011-05-09,664,3698,4362,Summer,2011,May,Mon,Clear/Few clouds,21.8325,26.2623,58.875,11.792,Working Day,Not Holiday
130,2011-05-10,694,4109,4803,Summer,2011,May,Tue,Clear/Few clouds,21.8325,26.13605,48.9167,7.749956999999999,Working Day,Not Holiday
131,2011-05-11,550,3632,4182,Summer,2011,May,Wed,Clear/Few clouds,22.2425,26.419999999999998,63.29169999999999,8.083014,Working Day,Not Holiday
132,2011-05-12,695,4169,4864,Summer,2011,May,Thu,Clear/Few clouds,21.935000000000002,26.16815,74.75,12.707689,Working Day,Not Holiday
133,2011-05-13,692,3413,4105,Summer,2011,May,Fri,Mist/Cloudy,21.0125,24.715,86.33330000000001,12.041575,Working Day,Not Holiday
134,2011-05-14,902,2507,3409,Summer,2011,May,Sat,Mist/Cloudy,21.354153,25.03145,92.25,9.041649999999999,Not Working Day,Not Holiday
135,2011-05-15,1582,2971,4553,Summer,2011,May,Sun,Mist/Cloudy,23.0625,26.8,86.70830000000001,10.249593,Not Working Day,Not Holiday
136,2011-05-16,773,3185,3958,Summer,2011,May,Mon,Clear/Few clouds,23.677500000000002,27.5256,78.79169999999999,8.500357000000001,Working Day,Not Holiday
137,2011-05-17,678,3445,4123,Summer,2011,May,Tue,Mist/Cloudy,23.028347,26.926450000000003,83.7917,18.582718,Working Day,Not Holiday
138,2011-05-18,536,3319,3855,Summer,2011,May,Wed,Mist/Cloudy,22.55,26.3579,87.0,13.499964,Working Day,Not Holiday
139,2011-05-19,735,3840,4575,Summer,2011,May,Thu,Mist/Cloudy,21.764153,25.537100000000002,82.9583,7.250271000000001,Working Day,Not Holiday
140,2011-05-20,909,4008,4917,Summer,2011,May,Fri,Clear/Few clouds,22.003347,26.4521,71.9583,8.375871,Working Day,Not Holiday
141,2011-05-21,2258,3547,5805,Summer,2011,May,Sat,Clear/Few clouds,24.7025,28.59875,62.6667,8.083549999999999,Not Working Day,Not Holiday
142,2011-05-22,1576,3084,4660,Summer,2011,May,Sun,Clear/Few clouds,24.770847,28.725,74.9583,9.916536,Not Working Day,Not Holiday
143,2011-05-23,836,3438,4274,Summer,2011,May,Mon,Mist/Cloudy,25.898346999999998,29.5148,81.0,15.667413999999999,Working Day,Not Holiday
144,2011-05-24,659,3833,4492,Summer,2011,May,Tue,Mist/Cloudy,27.060000000000002,30.240650000000002,74.0833,13.875164,Working Day,Not Holiday
145,2011-05-25,740,4238,4978,Summer,2011,May,Wed,Clear/Few clouds,27.094153,30.7771,69.625,10.333611000000001,Working Day,Not Holiday
146,2011-05-26,758,3919,4677,Summer,2011,May,Thu,Clear/Few clouds,29.041653,32.7344,67.75,13.376014,Working Day,Not Holiday
147,2011-05-27,871,3808,4679,Summer,2011,May,Fri,Clear/Few clouds,27.948347000000002,31.8504,65.375,16.125493,Working Day,Not Holiday
148,2011-05-28,2001,2757,4758,Summer,2011,May,Sat,Clear/Few clouds,26.889153,30.61895,72.9583,15.416164,Not Working Day,Not Holiday
149,2011-05-29,2355,2433,4788,Summer,2011,May,Sun,Clear/Few clouds,27.3675,30.777500000000003,81.875,14.333846,Not Working Day,Not Holiday
150,2011-05-30,1549,2549,4098,Summer,2011,May,Mon,Clear/Few clouds,30.066653000000002,33.5546,68.5,8.792075,Not Working Day,Holiday
151,2011-05-31,673,3309,3982,Summer,2011,May,Tue,Clear/Few clouds,31.775000000000002,36.26915,63.6667,7.459042999999999,Working Day,Not Holiday
152,2011-06-01,513,3461,3974,Summer,2011,Jun,Wed,Mist/Cloudy,31.330847000000002,36.04835,67.7083,13.875164,Working Day,Not Holiday
153,2011-06-02,736,4232,4968,Summer,2011,Jun,Thu,Clear/Few clouds,29.314999999999998,32.1971,30.5,19.583229000000003,Working Day,Not Holiday
154,2011-06-03,898,4414,5312,Summer,2011,Jun,Fri,Clear/Few clouds,25.419999999999998,29.356650000000002,35.4167,16.959107,Working Day,Not Holiday
155,2011-06-04,1869,3473,5342,Summer,2011,Jun,Sat,Clear/Few clouds,26.035,29.7348,45.625,8.250514,Not Working Day,Not Holiday
156,2011-06-05,1685,3221,4906,Summer,2011,Jun,Sun,Mist/Cloudy,26.581653000000003,30.8402,65.25,9.292364000000001,Not Working Day,Not Holiday
157,2011-06-06,673,3875,4548,Summer,2011,Jun,Mon,Clear/Few clouds,27.811653,31.0929,60.0,8.167032,Working Day,Not Holiday
158,2011-06-07,763,4070,4833,Summer,2011,Jun,Tue,Clear/Few clouds,29.0075,32.7975,59.791700000000006,12.583136,Working Day,Not Holiday
159,2011-06-08,676,3725,4401,Summer,2011,Jun,Wed,Clear/Few clouds,31.809153,36.36395,62.20830000000001,9.166739,Working Day,Not Holiday
160,2011-06-09,563,3352,3915,Summer,2011,Jun,Thu,Mist/Cloudy,33.141653,37.87895,56.833299999999994,10.042161,Working Day,Not Holiday
161,2011-06-10,815,3771,4586,Summer,2011,Jun,Fri,Clear/Few clouds,30.955000000000002,35.1646,60.5,9.417118,Working Day,Not Holiday
162,2011-06-11,1729,3237,4966,Summer,2011,Jun,Sat,Clear/Few clouds,29.724999999999998,33.901900000000005,65.45830000000001,10.374949999999998,Not Working Day,Not Holiday
163,2011-06-12,1467,2993,4460,Summer,2011,Jun,Sun,Clear/Few clouds,28.392500000000002,32.166250000000005,74.7917,10.958988999999999,Not Working Day,Not Holiday
164,2011-06-13,863,4157,5020,Summer,2011,Jun,Mon,Clear/Few clouds,26.035,30.082700000000003,49.4583,20.45845,Working Day,Not Holiday
165,2011-06-14,727,4164,4891,Summer,2011,Jun,Tue,Clear/Few clouds,24.770847,29.5773,50.708299999999994,18.041961,Working Day,Not Holiday
166,2011-06-15,769,4411,5180,Summer,2011,Jun,Wed,Clear/Few clouds,25.693347,29.3877,47.1667,11.250104,Working Day,Not Holiday
167,2011-06-16,545,3222,3767,Summer,2011,Jun,Thu,Mist/Cloudy,25.761653000000003,29.767300000000002,68.8333,13.833556999999999,Working Day,Not Holiday
168,2011-06-17,863,3981,4844,Summer,2011,Jun,Fri,Clear/Few clouds,26.615847000000002,30.01915,73.5833,9.582942999999998,Working Day,Not Holiday
169,2011-06-18,1807,3312,5119,Summer,2011,Jun,Sat,Clear/Few clouds,28.563347,32.197700000000005,67.0417,8.000336,Not Working Day,Not Holiday
170,2011-06-19,1639,3105,4744,Summer,2011,Jun,Sun,Mist/Cloudy,28.665847,32.292300000000004,66.6667,6.834,Not Working Day,Not Holiday
171,2011-06-20,699,3311,4010,Summer,2011,Jun,Mon,Mist/Cloudy,26.035,29.767300000000002,74.625,10.416825,Working Day,Not Holiday
172,2011-06-21,774,4061,4835,Fall,2011,Jun,Tue,Mist/Cloudy,27.914153000000002,31.8823,77.0417,11.458675000000001,Working Day,Not Holiday
173,2011-06-22,661,3846,4507,Fall,2011,Jun,Wed,Clear/Few clouds,30.066653000000002,34.69145,70.75,11.541554,Working Day,Not Holiday
174,2011-06-23,746,4044,4790,Fall,2011,Jun,Thu,Mist/Cloudy,29.861653,34.69165,70.3333,15.999868,Working Day,Not Holiday
175,2011-06-24,969,4022,4991,Fall,2011,Jun,Fri,Clear/Few clouds,29.690847,32.82915,57.3333,14.875675,Working Day,Not Holiday
176,2011-06-25,1782,3420,5202,Fall,2011,Jun,Sat,Clear/Few clouds,28.494999999999997,32.16565,48.3333,14.041257,Not Working Day,Not Holiday
177,2011-06-26,1920,3385,5305,Fall,2011,Jun,Sun,Clear/Few clouds,27.880000000000003,31.88145,51.3333,6.3337311,Not Working Day,Not Holiday
178,2011-06-27,854,3854,4708,Fall,2011,Jun,Mon,Mist/Cloudy,27.982499999999998,31.8502,65.8333,7.2083960000000005,Working Day,Not Holiday
